Step,average_reward_estimate
0,-1.517338717
1,-1.515620147
2,-1.446300433
3,-1.345578688
4,-1.237819463
5,-1.135610807
6,-1.044224558
7,-0.96562364
8,-0.898466353
9,-0.840177583
10,-0.788428801
11,-0.740474407
12,-0.696079942
13,-0.652774585
14,-0.611446339
15,-0.571154616
16,-0.53173559
17,-0.492985859
18,-0.45612506
19,-0.420446996
20,-0.385915332
21,-0.353423342
22,-0.32232687
23,-0.292448074
24,-0.263319369
25,-0.235187342
26,-0.208375552
27,-0.18254377
28,-0.158784274
29,-0.135400322
30,-0.113151585
31,-0.092740002
32,-0.07220107
33,-0.051953762
34,-0.033235762
35,-0.015135287
36,0.002152681
37,0.019397252
38,0.036244583
39,0.050961342
40,0.06597439
41,0.08038996
42,0.094128274
43,0.107694599
44,0.120855055
45,0.132975192
46,0.145479998
47,0.157309148
48,0.168669218
49,0.180030833
50,0.190502977
51,0.201338795
52,0.211353109
53,0.220313098
54,0.229429776
55,0.239036603
56,0.248075597
57,0.256539218
58,0.265307956
59,0.273337893
60,0.280843092
61,0.288265761
62,0.295762256
63,0.302975363
64,0.310451203
65,0.317723414
66,0.324554884
67,0.331519611
68,0.337804449
69,0.344150175
70,0.350307521
71,0.355990793
72,0.360623999
73,0.36619095
74,0.371592294
75,0.376926062
76,0.382923431
77,0.38805439
78,0.393833396
79,0.398663337
80,0.403301968
81,0.407863672
82,0.413032297
83,0.41691828
84,0.421572073
85,0.425690999
86,0.42951788
87,0.43287666
88,0.436105739
89,0.440306926
90,0.443918455
91,0.447479601
92,0.45032876
93,0.45397593
94,0.457652555
95,0.460804242
96,0.46341318
97,0.466486416
98,0.46927964
99,0.472217983
100,0.474944673
101,0.47733234
102,0.480030056
103,0.482979427
104,0.485110607
105,0.486784767
106,0.489233222
107,0.491932644
108,0.493406778
109,0.494992459
110,0.496622423
111,0.499256225
112,0.501247861
113,0.503029885
114,0.505671092
115,0.507695636
116,0.509277798
117,0.510903262
118,0.512625377
119,0.514055019
120,0.515673387
121,0.517660565
122,0.518830157
123,0.519698675
124,0.521174284
125,0.522506381
126,0.523657234
127,0.524867001
128,0.526476918
129,0.528030732
130,0.529023607
131,0.530533023
132,0.53163627
133,0.532113311
134,0.532965074
135,0.533889119
136,0.534550644
137,0.534962238
138,0.535031961
139,0.53655313
140,0.537409369
141,0.538127427
142,0.538708028
143,0.539864321
144,0.540454207
145,0.541336452
146,0.541756688
147,0.542510994
148,0.544257215
149,0.544758905
150,0.545187123
151,0.545487607
152,0.545856315
153,0.547131055
154,0.547954963
155,0.548572077
156,0.549494826
157,0.549494776
158,0.550117374
159,0.550144537
160,0.551082045
161,0.551530555
162,0.551126582
163,0.551795338
164,0.552374011
165,0.552767124
166,0.553469715
167,0.553732487
168,0.554505261
169,0.554681824
170,0.554754708
171,0.554534734
172,0.554848147
173,0.554820015
174,0.555743094
175,0.556082282
176,0.556806328
177,0.557003955
178,0.557764621
179,0.558062634
180,0.558143975
181,0.558380476
182,0.558544001
183,0.558769815
184,0.559009707
185,0.559143353
186,0.559476261
187,0.559661489
188,0.560234039
189,0.560897398
190,0.561276979
191,0.561927783
192,0.562379807
193,0.563740676
194,0.564039561
195,0.564227686
196,0.563912215
197,0.564125279
198,0.564537726
199,0.564745749
200,0.565264056
201,0.565457617
202,0.566155182
203,0.565918423
204,0.566016525
205,0.566182399
206,0.566983641
207,0.567093422
208,0.567075133
209,0.567930275
210,0.567551842
211,0.568533331
212,0.568946794
213,0.568870359
214,0.568389288
215,0.568332459
216,0.569027488
217,0.569287037
218,0.569592783
219,0.56952837
220,0.569674138
221,0.568681528
222,0.568415151
223,0.56904306
224,0.569343522
225,0.569496222
226,0.569644568
227,0.5692866
228,0.569227522
229,0.569705885
230,0.570605173
231,0.570665273
232,0.571140327
233,0.57093551
234,0.571253669
235,0.571446412
236,0.571011608
237,0.570584982
238,0.571168883
239,0.571354662
240,0.572075079
241,0.571657051
242,0.572231897
243,0.572329557
244,0.572894622
245,0.572320314
246,0.572833453
247,0.57340575
248,0.572671335
249,0.572893183
250,0.572997453
251,0.572632791
