Step,average_reward_estimate
0,-1.029894352
1,-1.184424181
2,-1.195190032
3,-1.134437416
4,-1.04634193
5,-0.956000784
6,-0.873350678
7,-0.792410001
8,-0.711775715
9,-0.627592335
10,-0.543922247
11,-0.461624608
12,-0.38036631
13,-0.305083294
14,-0.236700683
15,-0.174918132
16,-0.118774895
17,-0.070286781
18,-0.027597892
19,0.010038175
20,0.043049151
21,0.073683067
22,0.10072211
23,0.123910274
24,0.144098511
25,0.163089785
26,0.180397847
27,0.19749912
28,0.212789548
29,0.227812729
30,0.24141269
31,0.253470055
32,0.264617667
33,0.276765846
34,0.287721899
35,0.298166195
36,0.308306455
37,0.317011333
38,0.325843506
39,0.333499253
40,0.340769349
41,0.348816378
42,0.356671661
43,0.364120452
44,0.370806896
45,0.378089841
46,0.385940393
47,0.392131239
48,0.398281196
49,0.40318987
50,0.409600793
51,0.414315255
52,0.419426982
53,0.424675981
54,0.428919259
55,0.433519471
56,0.438951079
57,0.443380436
58,0.448355829
59,0.452976023
60,0.456217211
61,0.460469554
62,0.464056459
63,0.468085079
64,0.471616977
65,0.474071297
66,0.478295605
67,0.48262677
68,0.485872362
69,0.488093654
70,0.490835942
71,0.494334247
72,0.497767196
73,0.501085535
74,0.503524945
75,0.506626096
76,0.509542067
77,0.512339755
78,0.513954116
79,0.515425047
80,0.518388826
81,0.520294187
82,0.521381682
83,0.523240458
84,0.525656628
85,0.52809683
86,0.529433828
87,0.531111341
88,0.532325711
89,0.533799715
90,0.535210888
91,0.537300517
92,0.539052528
93,0.540381029
94,0.540527432
95,0.541890489
96,0.542514278
97,0.54379001
98,0.545776738
99,0.5473936
100,0.5485245
101,0.550658551
102,0.551443117
103,0.552879542
104,0.553335855
105,0.553800689
106,0.555038299
107,0.556131815
108,0.556883443
109,0.558029096
110,0.559741952
111,0.559975424
112,0.560071603
113,0.560480845
114,0.561579548
115,0.561820102
116,0.562508474
117,0.562803086
118,0.563944025
119,0.564594337
120,0.565181096
121,0.565526171
122,0.566504895
123,0.566553518
124,0.567402594
125,0.567236557
126,0.567810478
127,0.568805031
128,0.569763507
129,0.569173152
130,0.569687678
131,0.570237149
132,0.57064205
133,0.571099896
134,0.571980352
135,0.571636192
136,0.572337198
137,0.573618187
138,0.573346721
139,0.574046127
140,0.57419341
141,0.574457953
142,0.573942589
143,0.575288085
144,0.575832206
145,0.575872669
146,0.5760526
147,0.576455944
148,0.577417742
149,0.577593307
150,0.578551363
151,0.57812952
152,0.57790861
153,0.577714296
154,0.577928253
155,0.57807237
156,0.578713661
157,0.579054867
158,0.578968444
159,0.578830288
160,0.579181963
161,0.578645805
162,0.579210704
163,0.579525334
164,0.579493802
165,0.579665566
166,0.580369125
167,0.580111639
168,0.580161348
169,0.580787554
170,0.581460709
171,0.582201578
172,0.582461798
173,0.58233893
174,0.582712293
175,0.582599211
176,0.582589786
177,0.58250998
178,0.582930448
179,0.583274113
180,0.582983409
181,0.583335861
182,0.583235101
183,0.583288775
184,0.583340996
185,0.582953914
186,0.583527622
187,0.583115097
188,0.583268339
189,0.583442847
190,0.583861968
191,0.58417771
192,0.583650007
193,0.584285352
194,0.584392747
195,0.584297878
196,0.584327591
197,0.58385584
198,0.583699681
199,0.584120259
200,0.584941547
201,0.585488529
202,0.585783795
203,0.585695617
204,0.585398059
205,0.585711272
206,0.586556197
207,0.58684908
208,0.586110929
209,0.584858998
210,0.584546191
211,0.585122918
212,0.585544997
213,0.585513373
214,0.585224212
215,0.584569011
216,0.585142765
217,0.584523122
218,0.585945677
219,0.585455602
220,0.584881876
221,0.585268605
222,0.585304432
223,0.585828731
224,0.586588191
225,0.586548716
226,0.586062512
227,0.586395513
228,0.587127183
229,0.586704259
230,0.586155897
231,0.586367627
232,0.586481904
233,0.587246161
234,0.587405007
235,0.587084384
236,0.586165074
237,0.586535615
238,0.586508742
239,0.586577648
240,0.586934136
241,0.58700596
242,0.586972009
243,0.587138059
244,0.585969955
245,0.586336999
246,0.587046701
247,0.587027435
248,0.587401088
249,0.587321093
250,0.587480923
251,0.587539509
252,0.587963135
253,0.588115152
254,0.587652523
255,0.586819382
256,0.58708681
257,0.587155021
258,0.587489726
259,0.587429525
260,0.587408021
261,0.587577608
262,0.588190677
263,0.588053724
264,0.587659735
265,0.587251269
266,0.58760788
267,0.587813996
268,0.588141861
269,0.587971832
270,0.587796342
271,0.58818435
272,0.58734335
273,0.587230637
274,0.58777162
275,0.587617395
276,0.587275897
277,0.587521072
278,0.587679743
279,0.58784357
280,0.587889249
281,0.587665159
282,0.587579055
283,0.587585903
284,0.587973373
285,0.587730187
286,0.587687556
287,0.587324589
288,0.58768455
289,0.588093522
290,0.588645992
291,0.588596459
292,0.588626129
293,0.58811139
294,0.588010028
295,0.587919521
296,0.58791181
297,0.588185086
298,0.587793812
299,0.588266969
300,0.588001869
301,0.58791016
302,0.588453558
303,0.58883143
304,0.588732734
305,0.588589072
306,0.588624539
307,0.589300627
308,0.589996969
309,0.589120644
310,0.589180226
311,0.589491547
312,0.589786642
313,0.590290008
314,0.589467503
315,0.589675984
316,0.58961379
317,0.589207114
318,0.589186643
319,0.589730618
320,0.589614373
321,0.589153104
322,0.589123967
323,0.589195313
324,0.589219013
325,0.589851936
326,0.589476684
327,0.590192624
328,0.590337356
329,0.590643507
330,0.590475638
331,0.590416141
332,0.59039984
333,0.589833987
334,0.589454373
335,0.590516082
336,0.589882085
337,0.589991785
338,0.590172531
339,0.589558693
340,0.589939918
341,0.589540462
342,0.589665384
343,0.590296221
344,0.590531615
345,0.589897841
346,0.590224673
347,0.590278772
348,0.590256413
349,0.590443752
350,0.590683436
351,0.590569967
352,0.59005582
353,0.590009503
354,0.590494366
355,0.590452524
356,0.590744523
357,0.590793694
358,0.590701107
359,0.59010171
360,0.590111839
361,0.589580787
362,0.589578146
363,0.589985178
364,0.589732197
365,0.589526034
366,0.589695589
367,0.590136011
368,0.590446847
369,0.590213348
370,0.58975231
371,0.589428444
372,0.589802941
373,0.590229617
374,0.589827503
375,0.590461322
376,0.589504562
377,0.59003984
378,0.589762827
379,0.590709947
380,0.591143856
381,0.591039258
382,0.591800828
383,0.591548739
384,0.591367851
385,0.590994026
386,0.591104245
387,0.590764543
388,0.590881857
389,0.590469355
390,0.590469035
391,0.590795812
392,0.589595607
393,0.589941927
394,0.590849679
395,0.590863133
396,0.59034726
397,0.590604634
398,0.59089942
399,0.59038544
400,0.59077688
401,0.591167534
402,0.591560055
403,0.591221092
404,0.590844403
405,0.591335992
406,0.591702475
407,0.592151796
408,0.591736783
409,0.591095638
410,0.590744823
411,0.590491685
412,0.591327362
413,0.591646299
414,0.591258219
415,0.591105327
416,0.591195378
417,0.590765452
418,0.591164237
419,0.591301059
420,0.591092201
421,0.591316849
422,0.590932906
423,0.590633259
424,0.591395913
425,0.590922524
426,0.590576415
427,0.59010181
428,0.589914125
429,0.590468095
430,0.591114724
431,0.591685819
432,0.591400186
433,0.591412014
434,0.590960209
435,0.590777226
436,0.590814342
437,0.590758074
438,0.591775935
439,0.591443984
440,0.591598908
441,0.591522237
442,0.591803938
443,0.591871617
444,0.591547631
445,0.592218409
446,0.591935679
447,0.592212131
448,0.591451307
449,0.591878582
450,0.591873779
451,0.591087296
452,0.591121473
453,0.590914781
454,0.591050875
455,0.591856218
456,0.591228375
457,0.590660799
458,0.590606916
459,0.591075041
460,0.590571313
461,0.59106702
462,0.590959726
463,0.590961238
464,0.591775356
465,0.591805407
466,0.591563781
467,0.591856144
468,0.591304436
469,0.591108498
470,0.59125294
471,0.591234612
472,0.5915245
473,0.591524217
474,0.590532515
475,0.590777559
476,0.590831631
477,0.591381849
478,0.592082873
479,0.591592839
480,0.591144165
481,0.591154977
482,0.590764415
483,0.591450572
484,0.591521661
485,0.591672129
486,0.591907046
487,0.591944725
488,0.59159858
489,0.591452676
490,0.591655295
491,0.591335215
492,0.591713822
493,0.591619472
494,0.590998944
495,0.591244433
496,0.591468802
497,0.591149074
498,0.591724263
499,0.591128112
