Step,average_reward_estimate
0,-3.274828827
1,-2.627021369
2,-2.1323893
3,-1.7561584
4,-1.470014808
5,-1.255998104
6,-1.098555507
7,-0.978915027
8,-0.88231594
9,-0.800236029
10,-0.728398193
11,-0.663241954
12,-0.601318615
13,-0.542978035
14,-0.488525969
15,-0.436123678
16,-0.386253004
17,-0.338542293
18,-0.29390556
19,-0.252372644
20,-0.214043308
21,-0.176893208
22,-0.14356803
23,-0.112376322
24,-0.083806724
25,-0.056564031
26,-0.032645531
27,-0.008624408
28,0.015104472
29,0.035354988
30,0.054613712
31,0.073244665
32,0.090663269
33,0.107936545
34,0.124081824
35,0.138161746
36,0.152560446
37,0.16494583
38,0.177424225
39,0.18948369
40,0.200013726
41,0.211522891
42,0.22236112
43,0.233252636
44,0.243345872
45,0.253453755
46,0.26427143
47,0.273290074
48,0.282495061
49,0.292592598
50,0.301961319
51,0.308996408
52,0.316397604
53,0.324337061
54,0.332320411
55,0.339940915
56,0.347394406
57,0.355254535
58,0.363052728
59,0.370663158
60,0.377851757
61,0.384399276
62,0.391151564
63,0.39752893
64,0.402995454
65,0.409232731
66,0.415549992
67,0.421404965
68,0.426301797
69,0.431625935
70,0.43653436
71,0.441279401
72,0.446643597
73,0.452158989
74,0.456635453
75,0.461232387
76,0.466089299
77,0.470550287
78,0.475774978
79,0.479226011
80,0.483183266
81,0.486902201
82,0.490885943
83,0.495169141
84,0.49904584
85,0.50271398
86,0.505861483
87,0.508366218
88,0.510598701
89,0.51348985
90,0.515263412
91,0.51762409
92,0.520159372
93,0.522110997
94,0.525411474
95,0.527991472
96,0.530881287
97,0.532634538
98,0.534155584
99,0.535512943
100,0.537374832
101,0.538416653
102,0.540333368
103,0.542478497
104,0.54441442
105,0.546746292
106,0.548734406
107,0.550370999
108,0.550991307
109,0.551733224
110,0.552909931
111,0.553332177
112,0.554744275
113,0.55554001
114,0.557357008
115,0.558219284
116,0.55868115
117,0.560197342
118,0.560608361
119,0.561603231
